ID,Name,Artist,Album,Score,Length
639,Boogie Belgique - Every Time,Boogie Belgique,,1,242024
641,Boogie Belgique - Forever & Ever,Boogie Belgique,,2,350197
645,Boogie Belgique - Ms. Yutani,Boogie Belgique,,2,241345
647,Boogie Belgique - Once Have I,Boogie Belgique,,1,236460
785,Right Here Right Now - Fatboy Slim,,,2,228127
943,B.O.B ft. Hayley William - Airplanes,,,1,177240
945,Alessia Cara - Here,Alessia Cara,Know-It-All,4,197694
949,Blue - Eiffel 65,,,2,221910
951,Britney Spears - Gimme More,Britney Spears,,3,240770
953,Bruno Mars - Grenade,Bruno Mars,,3,224104
955,Calvin Harris - This Is What You Cam,,,1,235572
957,Capital Cities - Safe and Sound,,,2,190772
959,Sfork - Cave Johnson,,,3,285283
961,Coldplay - Viva La Vida,,,4,241319
963,Gnarls Barkley - Crazy,,,3,184006
965,Crazy Frog - We Are The Champions (D,,,4,181106
967,"[BOUNCE] David Guetta, Justin Bieber - 2U Remix (Alex D Bootleg) When it comes to you (MELBOURNE EDM",,,4,257044
969,DJ Got Us Fallin' In Love,,,3,223033
971,DJ Snake - Lean On,,,2,176718
973,DJ Snake - Let Me Love You,,,2,206315
975,Chainsmokers - Don't Let Me Down,,,1,209763
977,Double Trouble,,,3,171807
979,Ed Sheeran - Shape Of You,,,3,235128
981,Elle King - Ex's & Oh's,,,2,199680
989,FNAF - Five Nights at Freddy's,The Living Tombstone,,2,167810
991,Fort Minor - Remember The Name,,,1,228832
993,Give Me Everything Tonight,,,2,246883
995,Gym Class Heroes - Stereo Hearts,,,4,221962
999,I Need Some Sleep - Eels,,,2,150334
1001,ID - Demons,Imagine Dragons,,1,176326
1003,ID - Gold,Imagine Dragons,,3,216842
1007,Warriors,Imagine Dragons,League of Legends 2014 World Championship,1,170840
1009,It's On Again - Alicia Keys,,,1,238132
1013,Jennifer Lopez - On The Floor,,,5,223973
1015,John Legend - Love Me Now,,,2,216398
1017,Jon Bellion - All Time Low,,,4,209449
1019,Jonathan Thulin - Jekyll and Hyde,,,4,185391
1021,Kanye West - Flashing Lights ft. Dwe,,,4,173714
1027,"Kygo, Selena Gomez - It Ain't Me",,,3,221570
1029,Lily Allen - Smile,,,3,194194
1031,Mike Posner - Cooler Than Me,,,5,213707
1037,Muse - Resistance,,,1,323395
1039,Omar Souleyman - Shift Al Mani (Crac,,,2,353123
1043,Party Rock Anthem - LMFAO,,,4,262635
1045,Real Life - Send Me An Angel,,,1,318824
1049,Rihanna - Disturbia,Rihanna,,1,234240
1051,Rihanna - Don't Stop the Music,Rihanna,,5,265142
1053,Rihanna - Pon De Replay,Rihanna,,3,217364
1055,Rihanna - S&M,Rihanna,,2,249626
1057,Rihanna - SOS,Rihanna,,1,251193
1063,Spooky Scary Skeletons,The Living Tombstone,,2,230138
1065,Stephen - Crossfire,,,2,271516
1067,Taron Egerton - I'm Still Standing,,,1,177475
1071,Tove Lo - Habits (Stay High),,,1,208274
1073,twenty one pilots- Ride,Twenty One Pilots,,2,225384
1075,Wham! - Last Christmas,,,1,277786
1077,What Is Love,,,3,271307
1079,"Zedd, Alessia Cara - Stay",,,3,212636
1083,Shakira - Hips Don't Lie,,,1,218984
1085,AJR - WEAK,,,2,204904
1087,Alessia Cara - Scars To Your Beautif,,,2,230347
1089,Basshunter - Now You're Gone,Basshunter,,1,182857
1091,Cascada - Everytime We Touch,,,1,214648
1099,Light the Fire Up in the Night -Dual,,,1,307408
1103,"Bright Lights, Big City",,,4,300355
1111,Maxed Out- State Of Discord,,,4,229877
1113,Please Mr. Casio,,,2,253204
1115,No No No,(Lyrics) TheFatRat,,1,176143
1129,Bonnie Tyler - I Need a Hero,,,4,350275
1131,Bruno Mars - Billionaire,Bruno Mars,,3,213472
1133,Charlie Puth - Attention,Charlie Puth,,5,207725
