id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
639,0.675,0.603,7,-6.985,1,0.0413,0.0754,0.319,0.165,0.169,79.003,4
641,0.868,0.478,8,-9.893,0,0.0474,0.552,0.31,0.103,0.555,108.995,4
645,0.796,0.547,2,-8.011,0,0.0306,0.57,0.94,0.104,0.484,103.988,4
647,0.687,0.658,10,-9.421,1,0.0354,0.00934,0.864,0.299,0.358,106.986,4
785,0.621,0.885,1,-6.826,1,0.0473,0.0418,0.492,0.133,0.554,109.728,4
945,0.376,0.822,0,-3.974,1,0.104,0.0783,0,0.0841,0.327,120.493,4
949,0.829,0.965,7,-11.498,0,0.0598,0.227,0.000122,0.466,0.729,127.999,4
951,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
953,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
955,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
957,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
959,0.545,0.712,1,-5.735,1,0.0979,0.000445,0.433,0.411,0.355,140.186,4
961,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
963,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4
965,0.641,0.943,10,-2.712,1,0.0802,0.456,0.00082,0.227,0.333,129.99,4
971,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
973,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4
979,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
981,0.612,0.921,7,-2.882,1,0.085,0.0183,0,0.0576,0.446,139.988,4
989,0.491,0.771,9,-5.037,1,0.041,0.00149,0.000262,0.232,0.242,103.005,4
991,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,4
993,0.71,0.756,4,-5.701,0,0.0427,0.000971,0.914,0.0996,0.716,135.0,4
995,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
999,0.664,0.307,0,-10.14,1,0.0325,0.869,0.458,0.107,0.193,128.029,4
1001,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,4
1003,0.416,0.459,9,-6.814,0,0.0317,0.0801,0.00653,0.0551,0.286,164.929,3
1009,0.647,0.687,7,-5.274,0,0.121,0.06,0,0.495,0.494,110.14,4
1013,0.773,0.75,8,-4.009,0,0.117,0.109,0,0.174,0.783,123.426,4
1015,0.495,0.762,8,-3.842,1,0.0862,0.591,0,0.0763,0.708,123.893,4
